Munic&iacute;pio [-],C&oacute;digo [-],Gent&iacute;lico [-],Prefeito [2025],&Aacute;rea Territorial - km&sup2; [2024],Popula&ccedil;&atilde;o no &uacute;ltimo censo - pessoas [2022],Densidade demogr&aacute;fica - hab/km&sup2; [2022],Popula&ccedil;&atilde;o estimada - pessoas [2024],Escolariza&ccedil;&atilde;o &lt;span&gt;6 a 14 anos&lt;/span&gt; - % [2022],IDHM &lt;span&gt;&Iacute;ndice de desenvolvimento humano municipal&lt;/span&gt; [2010],Mortalidade infantil - &oacute;bitos por mil nascidos vivos [2023],Total de receitas brutas realizadas - R$ [2024],Total de despesas brutas empenhadas - R$ [2024],PIB per capita - R$ [2021],
Guarar&aacute;,3128501,guararense,CELIO JOSE FERRAZ,88.655,3149,35.52,3132,99.02,0.652,-,35297434.3,29705213.46,15349.17,
Guarda-Mor,3128600,guarda-morense,JOS&Eacute; DIAS DE OLIVEIRA,2068.808,6539,3.16,6684,98.74,0.690,13.51,90928093.55,69840742.12,114474.42,
Guaxup&eacute;,3128709,guaxupeano,JARBAS CORR&Ecirc;A FILHO,286.398,50911,177.76,52621,98.4,0.751,10.56,320222595.45,279256176.34,53726.8,
Guidoval,3128808,guidovalense,LUCIANA RODRIGUES PALMEIRA,158.375,7131,45.03,7284,100,0.683,10.99,43990654.33,42524334.93,17600.19,
Guimar&acirc;nia,3128907,guimaranense,ALEX GUIMAR&Atilde;ES NUNES,366.833,8478,23.11,8808,99.49,0.693,8.33,57804025.95,58715423.41,40063.15,
Guiricema,3129004,guiricemense,JOS&Eacute; OSCAR FERRAZ,293.578,7778,26.49,7850,100,0.674,11.36,46087633.34,46414153.12,13793.57,
Gurinhat&atilde;,3129103,gurinhantense,DOUGLAS HENRIQUE VALENTE,1849.137,5192,2.81,5203,99.44,0.680,29.41,55919853.39,57872597.91,32779.01,
Heliodora,3129202,heliodorense,EDUARDO CHEUNG DE LIMA,153.950,6134,39.84,6274,98.85,0.657,15.87,45624379.02,41127876.4,20150.08,
Iapu,3129301,iapuense,JOSE PEREIRA VIANA,340.994,12030,35.28,12486,91.3,0.654,18.35,61525971.75,56400611.28,15915.1,
Ibertioga,3129400,ibertiogano,JOSE FRANCISCO RODRIGUES DE ALMEIDA,346.240,5198,15.01,5334,100,0.657,24.39,44053061.23,41098417.42,20716.39,
Ibi&aacute;,3129509,ibiaense,GILLIANNO GILLES FERREIRA,2704.132,22229,8.22,22596,99.08,0.718,4.63,184769458.53,188027044.04,60160.3,
Ibia&iacute;,3129608,ibiaiense,MAURINA FONSECA MOTA DE MATOS,874.760,6286,7.19,6254,99.48,0.614,32.26,47707586.78,41691638.24,13560.18,
Ibiracatu,3129657,ibiracatuense,WARLEY FERREIRA LIMA,353.257,5081,14.38,5139,99.18,0.591,34.48,37065017.3,34427363.01,9600.19,
Ibiraci,3129707,ibiraciense,PAULO CEZAR DE OLIVEIRA,562.095,10948,19.48,11057,98.87,0.706,6.29,114909273.11,94624637.52,51550.46,
Ibirit&eacute;,3129806,ibiritenense,DINIS ANTONIO PINHEIRO,72.395,170537,2355.65,178713,98.11,0.704,12.89,698047426.44,678819733.68,17407.52,
Ibiti&uacute;ra de Minas,3129905,ibitiurense,RONY WILSON LEONARDO,68.316,3365,49.26,3439,98.03,0.674,50,33704667.42,30396894.91,22201.2,
Ibituruna,3130002,ibiturunense,DEVANIL VITOR DE SOUSA,153.106,2698,17.62,2740,100,0.675,-,32736874.65,29927593.31,19766.09,
Icara&iacute; de Minas,3130051,icaraiense,GONSALO ANTONIO MENDES DE MAGALH&Atilde;ES,625.664,10677,17.07,10912,99.51,0.624,-,60382710.96,56003416.04,9134.97,
Igarap&eacute;,3130101,igarapeense,ARNALDO DE OLIVEIRA CHAVES,111.005,45847,413.25,48475,98.66,0.698,10.7,277239476.91,308845216.53,21707.59,
Igaratinga,3130200,igaratinguense,FABIO ALVES COSTA FONSECA,218.343,10830,49.60,11252,98.42,0.651,-,75094356.88,68373228.77,51874.24,
Iguatama,3130309,iguatamense,LUCAS VIEIRA LOPES,628.200,6826,10.87,6845,98.49,0.707,-,59439594.49,54907854.25,74348.83,
Ijaci,3130408,ijaciense,NELSON MESQUITA GALVINO,105.246,7003,66.54,7291,100,0.714,27.03,60259499.18,52225048.54,74228.52,
Ilic&iacute;nea,3130507,ilicineaense,NIRLEI CRISTIANI,376.341,12741,33.85,13171,99.32,0.680,13.61,71157969.06,64942149.75,21212.04,
Imb&eacute; de Minas,3130556,imbeense,JO&Atilde;O BATISTA DA CRUZ,196.735,6986,35.51,7208,98.64,0.553,13.89,39977941.45,36553486.15,14503.11,
Inconfidentes,3130606,inconfidentino,CLAUDINEI TUNES PEREIRA,149.611,7301,48.80,7510,99.04,0.692,17.54,45729307.69,45165407.32,17947.26,
Indaiabira,3130655,indaiabirense,VANDERLUCIO DE OLIVEIRA,1004.149,6346,6.32,6379,99.62,0.610,-,47943678.99,44325596.24,11914.84,
Indian&oacute;polis,3130705,indianopolense,SELMO ALVES DE SOUZA,830.030,6171,7.43,6309,99.85,0.674,20.41,106147947.96,94402652.3,124934.02,
Inga&iacute;,3130804,ingaiense,GIULLIANO RIBEIRO PINTO,305.591,2580,8.44,2633,97.47,0.697,-,34154954.29,30843092.81,41544.77,
Inhapim,3130903,inhapinhense,SANDRO ADRIANO OLIVEIRA SILVA,858.024,22692,26.45,23000,98.55,0.658,7.58,115068744.76,101451150.44,16852.46,
Inha&uacute;ma,3131000,inhaumense,MAX OLIVEIRA DOS SANTOS,244.996,6239,25.47,6435,96.9,0.702,13.89,44227252.01,36591993.32,22951.75,
Inimutaba,3131109,inimutabense,EMERSOMM DANEZZI,527.060,7371,13.99,7587,98.89,0.664,-,44121523.93,37173687.42,11931.24,
Ipaba,3131158,ipabense,GILBERTO PEREIRA SOARES JUNIOR,113.246,17136,151.32,17554,98.66,0.665,11.9,98850782.94,95647643.7,9527.36,
Ipanema,3131208,ipanemense,JULIO FONTOURA DE MORAES JUNIOR,456.641,19522,42.75,20095,100,0.693,-,135671300.28,111656565.68,17115.04,
Ipatinga,3131307,ipatinguense,GUSTAVO MORAIS NUNES,164.884,227731,1381.16,235445,98.26,0.771,7.6,1499194965.86,1435046590.42,65869.82,
Ipia&ccedil;u,3131406,ipia&ccedil;uense,RAFAEL EVANGELISTA CAPANEMA,466.020,3775,8.10,3823,100,0.696,-,53938662.78,48117332.05,43292.43,
Ipui&uacute;na,3131505,ipuiunense,ELDER CASSIO DE SOUZA OLIVA,298.195,9135,30.63,9299,98.7,0.686,-,60538534.99,54228617.39,18563.37,
Ira&iacute; de Minas,3131604,iraiense,CLEITON GOMES DA CRUZ,356.264,7180,20.15,7423,96.54,0.695,20,62408201.76,53715130.56,42670.29,
Itabira,3131703,itabirano,MARCO ANTONIO LAGE,1254.607,113343,90.41,117747,98.64,0.756,11.71,1386370731.23,1470085598.35,123006.06,
Itabirinha,3131802,itabirense,LUCAS COIMBRA DONADIA,209.034,10362,49.57,10560,98.48,0.653,21.43,91546979.27,79141932.77,11723.25,
Itabirito,3131901,itabiritense,ELIO DA MATA SANTOS,544.027,53365,98.09,55877,99.06,0.730,7.22,915324220.41,924865343.7,247940,
Itacambira,3132008,itacambirano,GERALDO MOIS&Eacute;S DE SOUZA,1788.445,4252,2.38,4265,100,0.628,43.48,38897889.2,33692392.01,11331.15,
Itacarambi,3132107,itacarambiense,PAULO C&Eacute;SAR PINHEIRO DE AZEVEDO,1225.273,17208,14.04,17521,98.21,0.641,14.78,106650020.06,109149390.08,12454.64,
Itaguara,3132206,itaguarense,LUAN BRENNER GON&Ccedil;ALVES DE MORAIS,410.468,13846,33.73,14325,98.53,0.691,6.41,92520704.52,79494661.36,29790.11,
Itaip&eacute;,3132305,itaipeense,MARCONI VIEIRA NERY,480.829,10463,21.76,10549,99.27,0.552,27.03,61587878.98,59785467.94,9419.18,
Itajub&aacute;,3132404,Itajubense,RODRIGO IMAR MARTINEZ RIERA,294.835,93073,315.68,96632,96.65,0.787,10.49,532376410.98,497406577.56,33630.33,
Itamarandiba,3132503,itamarandibano,PEDRO AFONSO FERNANDES FILHO,2735.573,32948,12.04,34137,100,0.646,6.94,192358735.21,187890470.57,18431.8,
Itamarati de Minas,3132602,tamaratiense,CESIO JUNIOR ALVES LADEIRA,94.568,3690,39.02,3730,100,0.688,-,36401597.66,32345830.88,15321,
Itambacuri,3132701,itambacuriense,JOVANI FERREIRA DOS SANTOS,1419.209,21042,14.83,21296,99.04,0.634,29.2,127173782.29,113858133.25,14696.07,
Itamb&eacute; do Mato Dentro,3132800,itambeense,CLEIDILENY APARECIDA CHAVES,380.340,2142,5.63,2175,99.33,0.634,55.56,32105803.53,32475201.1,17678,
Itamogi,3132909,itamogiense,ROGERIO ANTONIO CAMPAGNOLI DA SILVA,243.714,10770,44.19,11062,99.63,0.674,6.45,72216924.48,61624411.55,23351.61,
Itamonte,3133006,itamontense,JO&Atilde;O PEDRO FONSECA,431.792,14786,34.24,15193,99.57,0.705,6.25,83553702.62,87936383.42,74613.56,
Itanhandu,3133105,itanhanduense,PAULO HENRIQUE PINTO MONTEIRO,143.363,15236,106.28,15684,99.53,0.739,6.25,114488882.53,112074894.43,30315.87,
Itanhomi,3133204,itanhomense,ARTHUR DI CARLO FERREIRA E SILVA,488.843,11128,22.76,11298,98.65,0.650,15.04,65992035.19,59322485.41,12341.6,
Itaobim,3133303,itaobinhense,FABIANO FERNANDES SILVA RIBEIRO,679.024,19151,28.20,19354,99.26,0.629,16.88,129156665.8,121288977.54,14701.65,
Itapagipe,3133402,itapagipense,RICARDO GARCIA DA SILVA,1802.438,13690,7.60,14004,96.71,0.723,11.11,102858379.27,96878381.48,33155.1,
Itapecerica,3133501,itapecericano,GLEYTON LUIZ PEREIRA,1040.519,21046,20.23,21462,98.99,0.713,22.22,91121964.19,83342339.1,28915.19,
Itapeva,3133600,itapevense,DANIEL PEREIRA DO COUTO,177.312,12692,71.57,13332,96.34,0.720,6.33,105298797.47,96560943.28,85067.72,
Itatiaiu&ccedil;u,3133709,itatiaiu&ccedil;uense,ROMER SOARES DAS CHAGAS,294.342,12966,43.93,13603,99.28,0.677,-,337307964.82,415854180.2,610779.65,
Ita&uacute; de Minas,3133758,itauense,NORIVAL FRANCISCO DE LIMA,153.421,14406,93.90,14655,100,0.776,-,97834388.85,92847553.57,44471.67,
Ita&uacute;na,3133808,itaunense,GUSTAVO MARQUES CARVALHO MITRE,495.768,97669,197.01,102500,98.87,0.758,11.04,582141655.64,519027076.55,53834.65,
Itaverava,3133907,itaveravense,WANDERLEY LOPES,284.220,5642,19.85,5752,99.4,0.627,25,46048309.19,41041001.29,13411.54,
Itinga,3134004,itinguense,JO&Atilde;O BOSCO VERSIANI GUSM&Atilde;O CORDEIRO,1649.622,13745,8.33,13982,100,0.600,-,88945352.39,90896908.81,9849.06,
Itueta,3134103,ituetano,GIORZANE RIGO CREMASCO,452.676,6055,13.38,6218,99.59,0.635,-,48129652.96,47170876.67,20119.67,
Ituiutaba,3134202,ituiutabano,LEANDRA GUEDES FERREIRA,2598.046,102217,39.34,106397,99.55,0.739,14.51,609111779,553009466.58,35891.17,
Itumirim,3134301,itumirinense,CARLOS ALBERTO NASCIMENTO,234.802,6638,28.27,6845,99.52,0.726,21.74,36438180.87,32328455.88,15326.47,
Iturama,3134400,ituramense,JOSE HERCULANO PEREIRA DOS SANTOS,1404.663,38295,27.26,40011,97.7,0.747,7.77,242367569.38,226407283.99,50309.34,
Itutinga,3134509,itutinguense,RODINELI ANTONIO DO NASCIMENTO,372.018,4217,11.34,4347,100,0.727,-,43090870.44,37227199.3,46016.16,
Jaboticatubas,3134608,jaboticatubense,RACLY ARA&Uacute;JO ANDRADE,1114.972,20406,18.30,21214,99.37,0.681,-,111226541.17,99941390.96,14403.17,
Jacinto,3134707,jacintense,LEONARDO AUGUSTO DE SOUZA,1393.609,11042,7.92,11169,99.04,0.620,10.53,63663740.76,59648959.71,10680.55,
Jacu&iacute;,3134806,jacuiense,MARIA CONCEICAO DOS REIS PEREIRA,409.229,7495,18.31,7663,98.53,0.668,-,45817441.92,40117401.29,19619.02,
Jacutinga,3134905,jacutinguense,RICARDO CUNHA PAIVA,347.667,25525,73.42,26705,99.18,0.715,10.64,182449572.81,184555496.69,43106.68,
Jaguara&ccedil;u,3135001,jaguara&ccedil;uense,MARCIO LIMA DE PAULA,163.760,3092,18.88,3173,99.29,0.679,-,38737843.99,30754000.8,34860.43,
Ja&iacute;ba,3135050,jaibense,JIMMY DIOGO SILVA MUR&Ccedil;A,2635.467,37660,14.29,39379,99.2,0.638,17.79,192562703.29,190246692.66,21310.16,
Jampruca,3135076,jampruquense,WELISTON FERREIRA DE ASSIS,517.095,4296,8.31,4306,99.32,0.609,-,43577515.36,39214387.22,15136.53,
Jana&uacute;ba,3135100,janaubense,JOSE APARECIDO MENDES SANTOS,2181.319,70699,32.41,73281,99.53,0.696,9.49,440576219.04,433996308.44,22157.83,
Janu&aacute;ria,3135209,januarense,MAUR&Iacute;CIO ALMEIDA DO NASCIMENTO,6661.588,65150,9.78,67087,98.64,0.658,22.83,280719959.98,258610953.5,12133.95,
Japara&iacute;ba,3135308,japara&iacute;bano,GERALDO ALEXANDRE LOPES,172.141,4506,26.18,4672,100,0.721,23.26,44850210.07,36885260,22937.4,
Japonvar,3135357,japonvaense,WELSON GON&Ccedil;ALVES DA SILVA,375.181,8127,21.66,8357,98.92,0.608,11.76,51681033.22,47695960.86,9688.75,
Jeceaba,3135407,jeceabense,FABIO VASCONCELOS,236.250,6197,26.23,6428,99.07,0.661,-,97538810.27,85906251.56,407353.2,
Jenipapo de Minas,3135456,jenipapense,EDSON HONORATO FIGUEIR&Oacute;,284.453,6100,21.44,6124,99.88,0.624,-,40903742.11,37806991.73,10214.67,
Jequeri,3135506,jequeriense,LUIZ ANTONIO RESENDE SOARES,547.897,12419,22.67,12652,95.63,0.601,-,68126801.28,67745099.16,15840.35,
Jequita&iacute;,3135605,jequitaiense,ELDIMA CALDEIRA BENFICA,1268.443,6484,5.11,6460,99.55,0.643,25.64,49414859.16,43076147.3,17614.92,
Jequitib&aacute;,3135704,jequitibaense,LUIZ CARLOS PINHEIRO,445.030,5883,13.22,6098,98.28,0.689,32.79,42923461.59,46939564.47,24253.55,
Jequitinhonha,3135803,jequitinhonhense,NILO BARBUDA SOUTO,3514.216,24007,6.83,24509,98.29,0.615,8.4,126771059.65,121893246.51,10754.52,
Jesu&acirc;nia,3135902,jesuanense,LUIZ FERNANDO NORONHA PEREIRA,153.852,5138,33.40,5296,99.41,0.658,24.39,36597318.3,33746403.17,21827.32,
Joa&iacute;ma,3136009,joaimense,ABINALDO OLIVEIRA BOTELHO,1664.190,13888,8.35,14084,98.65,0.587,5.85,76756225.7,73283143.34,10509.42,
Joan&eacute;sia,3136108,joanense,AIKEN CRISTIAN ANDRADE DIAS,233.292,4329,18.56,4304,99.28,0.626,-,34327283.4,44176329.42,25154.48,
Jo&atilde;o Monlevade,3136207,monlevadense,LAERCIO JOS&Eacute; RIBEIRO,98.231,80187,808.68,83360,99.62,0.758,7.94,490757647.03,453725634.04,59963.67,
Jo&atilde;o Pinheiro,3136306,pinheirense,GL&Aacute;UCON C&Eacute;ZAR CARDOSO,10727.097,46801,4.36,48532,99.29,0.697,18.93,310720480.09,294186193.51,44929.59,
Joaquim Fel&iacute;cio,3136405,feliciano,MIGUEL FELIPE FERREIRA DE OLIVEIRA,790.935,3854,4.87,3891,97.87,0.637,-,43174228.75,41482503.27,15206.06,
Jord&acirc;nia,3136504,jordaniense,MAXUEL BONFIM TORRES,546.705,10304,18.85,10536,100,0.628,19.05,53348938.62,51420644.3,9857.64,
Jos&eacute; Gon&ccedil;alves de Minas,3136520,gon&ccedil;alvense,MARIA GOMES MOTOSO ROCHA,381.332,3969,10.41,3993,99.34,0.632,-,40730279.88,34929077.61,11565.81,
Jos&eacute; Raydan,3136553,jos&eacute; raydanense,ROMARIO GON&Ccedil;ALVES DA ROCHA,180.822,4268,23.60,4352,99.15,0.617,22.22,33746827.28,31191539,14172.89,
Josen&oacute;polis,3136579,josenopolense,DANIEL PATRICK RIBEIRO QUEIROZ,541.393,3630,6.70,3607,99.3,0.564,-,38940977.52,35470285.31,11815.85,
Nova Uni&atilde;o,3136603,nova-uniense,WALDIR JOSE DOS SANTOS,172.131,5909,34.33,6083,100,0.662,28.17,40551864.05,45533263.54,18734.56,
Juatuba,3136652,juatubense,KELISSANDER SALIBA SANTOS,97.017,30716,316.60,32726,97.61,0.717,5.31,226684609.65,220578109.83,51653.48,
Juiz de Fora,3136702,juiz-forano,MARIA MARGARIDA MARTINS SALOM&Atilde;O,1435.749,540756,376.64,565764,98.97,0.778,12.3,3027135915.32,3358796771.18,35145.34,
Juramento,3136801,juramentense,MARLENE DE LOURDES SILVEIRA MOREIRA,431.630,3768,8.73,3815,98.59,0.669,25.64,37291677.97,32479908.81,11839.64,
Juruaia,3136900,juruaiense,CELSO MARQUES J&Uacute;NIOR,220.353,11084,50.30,11543,98.19,0.723,11.76,76573769.03,69620503.28,25392.25,
Juven&iacute;lia,3136959,juveniliense,MAILSON LOPES DE OLIVEIRA,1064.692,5789,5.44,5929,99.24,0.592,15.87,42667073.35,41036624.02,11502.41,
Ladainha,3137007,ladainhense,RONAN JARDIM CESAR,866.290,14383,16.60,14399,97.8,0.541,6.54,96284594.54,96975392.24,8063.14,
Lagamar,3137106,lagamarense,JOSE ALVES FILHO,1474.562,6631,4.50,6672,100,0.718,22.73,47489323.1,42123664.71,31961.94,
Lagoa da Prata,3137205,lago-pratense,DI GIANNE DE OLIVEIRA NUNES,439.984,51412,116.85,53583,98.64,0.732,16.95,241770265.23,209223372.54,37310.73,
Lagoa dos Patos,3137304,lagoa-patense,HERCULES VANDY DURAES DA FONSECA,600.547,3313,5.52,3285,100,0.634,-,37434119.77,31772580.57,14675.29,
Lagoa Dourada,3137403,lagoense,ISMAR JOSE DE MELO,476.693,12769,26.79,13116,99.29,0.676,7.35,83998410.02,79564880.44,26337.64,
Lagoa Formosa,3137502,lagoense,JOSE WILSON AMORIM,840.920,18904,22.48,19507,98.82,0.703,25.77,125206659.44,133533013.19,31130.75,
Lagoa Grande,3137536,lagoa grandense,HAMILTON DOS REIS RIBEIRO,1236.301,8969,7.25,9210,99.54,0.679,11.9,68645050.98,70523116.4,30214.48,
Lagoa Santa,3137601,lagoa-santense,BRENO SALOM&Atilde;O GOMES,229.741,75145,327.56,79981,98.75,0.777,11.9,468775912.03,469744705.26,32802.82,
Lajinha,3137700,lajinhense,RENATO CARDOSO DE LAIA,431.920,20835,48.24,21422,98.67,0.661,20.06,129323100.31,117809637.29,20069.96,
Lambari,3137809,lambariense,LEONARDO FRAMIL LOBO SANTOS,213.110,20414,95.79,20950,99.49,0.711,4.88,95024920.97,90038008.8,19293.34,
Lamim,3137908,laminense,WALDINEY DE SOUZA CAMPOS,118.602,3184,26.85,3226,100,0.655,-,31972946.5,30071737.98,15487.44,
Laranjal,3138005,laranjalense,FERNANDO GON&Ccedil;ALVES DOS SANTOS,204.882,5963,29.10,6042,99.66,0.714,-,48710206.03,45472454.15,13971.34,
Lassance,3138104,lassancense,ATLOS CACIO DE SOUZA PEREIRA GOMES,3204.217,7124,2.22,7358,98.28,0.629,-,60340636.71,54345547.92,29649.11,
Lavras,3138203,lavrense,JUSSARA MENICUCCI DE OLIVEIRA,564.744,104761,185.50,109884,99.4,0.782,11.25,523750292.36,489076735.36,27818.1,
Leandro Ferreira,3138302,leandrense,NIVALDO RODRIGUES DE CARVALHO,352.005,3199,9.09,3270,100,0.710,-,33284145.2,35287709.26,17228.55,
Leme do Prado,3138351,lemepradense,JOSEANY CORDEIRO SANTOS,280.036,4341,15.50,4387,100,0.670,-,40654452.47,39391842,13448.01,
Leopoldina,3138401,leopoldinense,PEDRO AUGUSTO JUNQUEIRA FERRAZ,943.077,51145,54.23,52696,99.11,0.726,4.15,241714336.6,219553079.28,21124.06,
Liberdade,3138500,libertense,LUCAS DE SOUZA GARCIA,401.337,4737,11.80,4775,99.52,0.672,-,38118490.01,41458821.01,21553.54,
Lima Duarte,3138609,limaduartino,ELENICE PEREIRA DELGADO SANTELLI,848.564,17221,20.29,17712,99.31,0.710,20,91220943.8,85172616.06,20279.44,
Limeira do Oeste,3138625,limeirense,LEANDRO DE SOUZA CARVALHO,1317.153,8687,6.60,9087,100,0.710,21.28,72311209.52,69643710.96,60582.62,
Lontra,3138658,lontrense,WESLEY ALVES DE SOUZA,258.925,8790,33.95,8968,100,0.646,31.25,47837883.71,47146776.09,9610.66,
Luisburgo,3138674,luisburguense,ALAIR FIGUEIREDO DE ASSUN&Ccedil;&Atilde;O JUNIOR,145.418,6956,47.83,7195,95.25,0.608,16.67,44511252.78,44163620.16,21249.6,
Luisl&acirc;ndia,3138682,luislandense,JUVENAL ALVES DOS SANTOS,411.714,6210,15.08,6329,100,0.614,54.35,38813674.32,34318680.84,9721.43,
Lumin&aacute;rias,3138708,luminarense,&Eacute;CIO CARVALHO REZENDE,500.143,5586,11.17,5731,98.85,0.678,44.44,40771748.39,34922651.06,27448.05,
Luz,3138807,luzense,AILTON DUARTE,1171.659,17875,15.26,18304,99.34,0.724,5.52,113319862.1,100627483.31,35908.88,
Machacalis,3138906,machacalisense,GILSON LUCAS ARAUJO SILVA,332.378,6487,19.52,6579,99.66,0.640,-,53485874.42,51695106.63,15811.47,
Machado,3139003,machadense,MAYCON WILLIAN DA SILVA,585.958,37684,64.31,38831,98.14,0.715,13.19,247219122.91,226224554.65,32188.05,
Madre de Deus de Minas,3139102,madre-deusense,OSMAR DE OLIVEIRA,492.909,5191,10.53,5341,99.74,0.699,-,50020399.7,42139954.41,58993.52,
Malacacheta,3139201,malacachetense,HERMES ADALTO GOMES DA CUNHA,727.886,17516,24.06,17751,99.31,0.618,16.13,99231878.9,102880517.9,12708.51,
Mamonas,3139250,mamonense,VALDECI CUST&Oacute;DIO JORGE,284.365,5997,21.09,6096,99.39,0.618,-,43077858.36,38491591,9155.69,
Manga,3139300,manguense,ANASTACIO GUEDES SARAIVA,1950.184,18886,9.68,19188,99.16,0.642,30.93,112839432.95,104173741.17,13482.39,
Manhua&ccedil;u,3139409,manhua&ccedil;uense,MARIA IMACULADA DUTRA DORNELAS,628.318,91886,146.24,96545,99.07,0.689,2.33,423672676.9,371246168.15,35607.52,
Manhumirim,3139508,manhumiriense,SERGIO BOREL CORREA,182.900,20613,112.70,20970,99.64,0.697,3.98,126703927.73,122813758.82,24613.19,
Mantena,3139607,mantenense,GENTIL MATA DA CRUZ,685.208,26535,38.73,27358,98.58,0.675,17.42,158158950.11,151458174.55,17248.55,
Maravilhas,3139706,maravilhense,JOSE BONAPARTE VASCONCELOS FONSECA,261.604,7333,28.03,7518,97.02,0.672,12.2,66883855.87,71068347.26,28738.33,
Mar de Espanha,3139805,mar-de-espanhense,WELINGTON MARCOS RODRIGUES,371.600,12721,34.23,13119,97.92,0.684,6.17,65372972.83,53869113.89,17526.23,
Maria da F&eacute;,3139904,mariense,ADILSON DOS SANTOS,202.898,14247,70.22,14557,99.61,0.702,7.04,78116478.7,70069983.42,14490.07,
Mariana,3140001,marianense,JULIANO VASCONCELOS GON&Ccedil;ALVES,1194.208,61387,51.40,64058,99.48,0.742,17.1,883769864.89,868426625.24,119155.4,
Marilac,3140100,marilaquense,ALDO FRAN&Ccedil;A SOUTO,158.809,4224,26.60,4320,97.18,0.615,16.13,53748954.71,58002573.59,14150.23,
M&aacute;rio Campos,3140159,mario-campense,ANDRESA APARECIDA ROCHA RODRIGUES,35.196,15900,451.76,16546,98.64,0.699,19.42,77494627.57,67655546.54,12520.55,
Marip&aacute; de Minas,3140209,maripaense,VAGNER FONSECA COSTA,77.338,3387,43.79,3532,99.32,0.680,-,41845233.28,42309505.81,24993.05,
Marli&eacute;ria,3140308,marlierense,HAMILTON LIMA PAULA,545.813,4592,8.41,4761,100,0.657,-,42469654.07,36755956.22,14999.89,
Marmel&oacute;polis,3140407,marmelopolense,RODRIGO JUNIOR RIBEIRO,107.902,3200,29.66,3299,100,0.650,-,31078563.39,27480513.15,15843.65,
Martinho Campos,3140506,martinho-campense,WILSON CORREA ALVES AFONSO DE CARVALHO,1058.418,14003,13.23,14461,99.39,0.669,5.85,87966020.4,73704343.98,35176.11,
Martins Soares,3140530,martinsoarense,PAULO SERGIO PEREIRA,113.268,8396,74.13,8725,97.8,0.635,16.13,53426046.07,43524177.85,24963.05,
Mata Verde,3140555,mataverdense,IRONE BENTO DIAS OLIVEIRA,227.539,9112,40.05,9458,99.32,0.581,13.89,46586005.04,44922380.76,10526.08,
Materl&acirc;ndia,3140605,materlandiense,MARQUES SERAFIM DE PINHO,280.530,3963,14.13,3982,99.26,0.597,-,36349577.72,34338127.81,13710.97,
Mateus Leme,3140704,mateus-lemense,RENILTON RIBEIRO COELHO,302.124,37841,125.56,40239,99.33,0.704,13.45,241446184.74,250346538.95,34132.67,
Matias Barbosa,3140803,matiense,MAURICIO DOS REIS DOMINGOS,157.066,14121,89.90,14501,99.69,0.720,19.23,89160761.45,78400057.61,42951.23,
Matias Cardoso,3140852,matiense,MARIA DE LOURDES RODRIGUES DA SILVA FILHA CORDEIRO,1940.598,8895,4.58,8975,98.77,0.616,-,68324605.34,63308293.01,13964.57,
Matip&oacute;,3140902,matipoense,FABIO HENRIQUE GARDINGO,266.990,18552,69.49,19054,96.56,0.631,6.99,101200290.95,82097862.31,22270.48,
Mato Verde,3141009,mato-verdense,PEDRO HENRIQUE HORTA FREITAS,472.245,12038,25.49,12238,99.56,0.662,7.19,63474508.13,53856783.33,12741.8,
Matozinhos,3141108,matozinhense,ITALO MORAES BORGES,252.453,37618,149.01,39291,99.72,0.731,15.56,175677942.94,151704827.41,39152.41,
Matutina,3141207,matutinense,GILBERTO ERNANE DE LIMA,260.957,3814,14.62,3907,98.22,0.707,-,36211911.81,33034331.24,26036.56,
Medeiros,3141306,medeirense,JOSE MIRANDA DA SILVA,946.437,3900,4.12,4040,100,0.711,-,47389110.74,44639933.57,64058.5,
Medina,3141405,medinense,LUCAS ALVES PEREIRA,1435.903,20156,14.04,20492,99.56,0.624,13.57,102561816.75,91941859.44,12224.08,
Mendes Pimentel,3141504,pimentelense,PAULO ANTONIO DE SOUZA,305.507,5606,18.35,5651,98.79,0.626,45.45,42414585.95,40246416.49,12006.86,
Merc&ecirc;s,3141603,mercesano,DONIZETE BARBOSA DE OLIVEIRA,348.271,10373,29.78,10609,99.26,0.664,-,61273193.63,59890558.4,14085.21,
Mesquita,3141702,mesquitense,ILTON OLIVEIRA TORRES,274.938,5040,18.33,5038,99.3,0.656,-,40375576.92,38340799.07,10833.03,
Minas Novas,3141801,minas-novense,ALESSANDRO MOTA BARBOSA,1812.398,24405,13.47,24191,100,0.633,8.2,161434544.8,158536366.56,11112.45,
Minduri,3141900,mindurense,JOS&Eacute; BENTO JUNQUEIRA DE ANDRADE NETO,219.774,3741,17.02,3815,100,0.658,20.83,40318013.38,40896983.15,42093.45,
Mirabela,3142007,mirabelense,FERNANDO HENRIQUE RABELO PORTO,723.278,13651,18.87,14029,99.62,0.665,13.7,90696462.25,78746264.63,11941.74,
Miradouro,3142106,miradourense,CLOVES DA SILVA BOTELHO,301.672,8968,29.73,9026,100,0.663,-,64674200.62,58447572.63,16084.86,
Mira&iacute;,3142205,miraiense,ADAELSON DE ALMEIDA MAGALH&Atilde;ES,320.695,13633,42.51,13922,93.71,0.680,14.71,84684015.41,84263882.48,21973.7,
Mirav&acirc;nia,3142254,miravaniense,ELZIO MOTA DOURADO,602.128,3985,6.62,4011,99.67,0.593,-,36590011.28,35279374.83,9477.13,
